trial,video,key,reaction_time,correct,speed
1,./3Ball/3Ball_Eyes1.mp4,1,1.503,True,0.8
2,./3Ball/3Ball_Eyes3.mp4,3,2.416,True,0.8
3,./3Ball/3Ball_Eyes2.mp4,2,2.033,True,0.8
4,./3Ball/3Ball_Eyes2.mp4,2,2.201,True,0.8
5,./3Ball/3Ball_Eyes2.mp4,2,2.184,True,0.8
6,./3Ball/3Ball_Eyes3.mp4,3,2.416,True,0.8
7,./3Ball/3Ball_Eyes2.mp4,2,2.11,True,0.8
8,./3Ball/3Ball_Eyes2.mp4,2,2.02,True,0.8
9,./3Ball/3Ball_Eyes1.mp4,1,1.616,True,0.8
10,./3Ball/3Ball_Eyes3.mp4,3,2.384,True,0.8
11,./3Ball/3Ball_Eyes2.mp4,2,2.185,True,0.8
12,./3Ball/3Ball_Eyes2.mp4,2,2.152,True,0.8
13,./3Ball/3Ball_Eyes3.mp4,3,2.355,True,0.8
14,./3Ball/3Ball_Eyes1.mp4,1,1.816,True,0.8
15,./3Ball/3Ball_Eyes1.mp4,1,1.682,True,0.8
16,./3Ball/3Ball_Eyes1.mp4,1,1.761,True,0.8
17,./3Ball/3Ball_Eyes1.mp4,1,1.633,True,0.8
18,./3Ball/3Ball_Eyes2.mp4,2,2.151,True,0.8
19,./3Ball/3Ball_Eyes2.mp4,2,2.376,True,0.8
20,./3Ball/3Ball_Eyes2.mp4,2,2.279,True,0.8
21,./3Ball/3Ball_Eyes3.mp4,3,2.448,True,0.8
22,./3Ball/3Ball_Eyes1.mp4,1,1.745,True,0.8
23,./3Ball/3Ball_Eyes3.mp4,3,2.529,True,0.8
24,./3Ball/3Ball_Eyes3.mp4,3,2.393,True,0.8
25,./3Ball/3Ball_Eyes3.mp4,3,2.72,True,0.8
26,./3Ball/3Ball_Eyes3.mp4,3,2.601,True,0.8
27,./3Ball/3Ball_Eyes2.mp4,2,2.434,True,0.8
28,./3Ball/3Ball_Eyes2.mp4,2,2.56,True,0.8
29,./3Ball/3Ball_Eyes3.mp4,3,2.58,True,0.8
30,./3Ball/3Ball_Eyes2.mp4,2,2.511,True,0.8
31,./3Ball/3Ball_Eyes1.mp4,1,1.832,True,0.8
32,./3Ball/3Ball_Eyes3.mp4,3,2.583,True,0.8
33,./3Ball/3Ball_Eyes3.mp4,3,2.625,True,0.8
34,./3Ball/3Ball_Eyes2.mp4,2,2.415,True,0.8
35,./3Ball/3Ball_Eyes1.mp4,1,2.05,True,0.8
36,./3Ball/3Ball_Eyes2.mp4,2,2.601,True,0.8
37,./3Ball/3Ball_Eyes2.mp4,2,2.425,True,0.8
38,./3Ball/3Ball_Eyes2.mp4,2,2.647,True,0.8
39,./3Ball/3Ball_Eyes1.mp4,1,1.745,True,0.8
40,./3Ball/3Ball_Eyes2.mp4,2,2.434,True,0.8
