trial,video,key,reaction_time,correct,speed
1,./5Ball/5Ball_Arrows5.mp4,5,2.6,True,0.8
2,./5Ball/5Ball_Arrows1.mp4,1,2.233,True,0.8
3,./5Ball/5Ball_Arrows1.mp4,1,2.29,True,0.8
4,./5Ball/5Ball_Arrows4.mp4,3,2.908,False,0.8
5,./5Ball/5Ball_Arrows4.mp4,3,2.832,False,0.8
6,./5Ball/5Ball_Arrows1.mp4,1,2.369,True,0.8
7,./5Ball/5Ball_Arrows1.mp4,1,2.256,True,0.8
8,./5Ball/5Ball_Arrows2.mp4,2,3.01,True,0.8
9,./5Ball/5Ball_Arrows2.mp4,2,3.36,True,0.8
10,./5Ball/5Ball_Arrows1.mp4,1,2.712,True,0.8
11,./5Ball/5Ball_Arrows2.mp4,2,3.0,True,0.8
12,./5Ball/5Ball_Arrows3.mp4,3,2.776,True,0.8
13,./5Ball/5Ball_Arrows1.mp4,1,2.432,True,0.8
14,./5Ball/5Ball_Arrows3.mp4,3,2.834,True,0.8
15,./5Ball/5Ball_Arrows5.mp4,5,2.767,True,0.8
16,./5Ball/5Ball_Arrows1.mp4,1,2.42,True,0.8
17,./5Ball/5Ball_Arrows2.mp4,2,3.072,True,0.8
18,./5Ball/5Ball_Arrows2.mp4,2,3.447,True,0.8
19,./5Ball/5Ball_Arrows3.mp4,3,2.896,True,0.8
20,./5Ball/5Ball_Arrows2.mp4,2,3.587,True,0.8
21,./5Ball/5Ball_Arrows2.mp4,2,3.705,True,0.8
22,./5Ball/5Ball_Arrows2.mp4,2,3.841,True,0.8
23,./5Ball/5Ball_Arrows3.mp4,3,3.321,True,0.8
24,./5Ball/5Ball_Arrows3.mp4,3,3.585,True,0.8
25,./5Ball/5Ball_Arrows4.mp4,4,3.465,True,0.8
26,./5Ball/5Ball_Arrows1.mp4,1,3.176,True,0.8
27,./5Ball/5Ball_Arrows5.mp4,5,4.32,True,0.8
28,./5Ball/5Ball_Arrows3.mp4,3,3.298,True,0.8
29,./5Ball/5Ball_Arrows2.mp4,2,3.88,True,0.8
30,./5Ball/5Ball_Arrows5.mp4,5,2.495,True,0.8
31,./5Ball/5Ball_Arrows2.mp4,2,3.329,True,0.8
32,./5Ball/5Ball_Arrows5.mp4,5,3.113,True,0.8
33,./5Ball/5Ball_Arrows4.mp4,4,3.714,True,0.8
34,./5Ball/5Ball_Arrows4.mp4,4,3.824,True,0.8
35,./5Ball/5Ball_Arrows5.mp4,5,3.569,True,0.8
36,./5Ball/5Ball_Arrows1.mp4,1,3.152,True,0.8
37,./5Ball/5Ball_Arrows4.mp4,4,3.584,True,0.8
38,./5Ball/5Ball_Arrows3.mp4,3,3.36,True,0.8
39,./5Ball/5Ball_Arrows2.mp4,2,3.689,True,0.8
40,./5Ball/5Ball_Arrows4.mp4,4,2.657,True,0.8
