trial,video,key,reaction_time,correct,speed
1,./5Ball/5Ball_No_Screen2.mp4,2,4.309,True,0.8
2,./5Ball/5Ball_No_Screen1.mp4,2,3.344,False,0.8
3,./5Ball/5Ball_No_Screen1.mp4,1,5.056,True,0.8
4,./5Ball/5Ball_No_Screen3.mp4,3,4.368,True,0.8
5,./5Ball/5Ball_No_Screen4.mp4,4,4.81,True,0.8
6,./5Ball/5Ball_No_Screen1.mp4,1,4.296,True,0.8
7,./5Ball/5Ball_No_Screen2.mp4,2,5.31,True,0.8
8,./5Ball/5Ball_No_Screen1.mp4,1,4.706,True,0.8
9,./5Ball/5Ball_No_Screen4.mp4,4,5.465,True,0.8
10,./5Ball/5Ball_No_Screen3.mp4,3,4.794,True,0.8
11,./5Ball/5Ball_No_Screen1.mp4,1,4.313,True,0.8
12,./5Ball/5Ball_No_Screen5.mp4,5,5.024,True,0.8
13,./5Ball/5Ball_No_Screen2.mp4,2,6.376,True,0.8
14,./5Ball/5Ball_No_Screen4.mp4,4,5.2,True,0.8
15,./5Ball/5Ball_No_Screen2.mp4,2,5.138,True,0.8
16,./5Ball/5Ball_No_Screen4.mp4,4,4.907,True,0.8
17,./5Ball/5Ball_No_Screen1.mp4,1,2.883,True,0.8
18,./5Ball/5Ball_No_Screen3.mp4,3,3.512,True,0.8
19,./5Ball/5Ball_No_Screen5.mp4,5,5.577,True,0.8
20,./5Ball/5Ball_No_Screen1.mp4,1,4.594,True,0.8
21,./5Ball/5Ball_No_Screen2.mp4,2,3.919,True,0.8
22,./5Ball/5Ball_No_Screen2.mp4,2,3.888,True,0.8
23,./5Ball/5Ball_No_Screen3.mp4,3,4.914,True,0.8
24,./5Ball/5Ball_No_Screen2.mp4,2,5.32,True,0.8
25,./5Ball/5Ball_No_Screen3.mp4,3,4.944,True,0.8
26,./5Ball/5Ball_No_Screen3.mp4,3,5.113,True,0.8
27,./5Ball/5Ball_No_Screen1.mp4,1,4.057,True,0.8
28,./5Ball/5Ball_No_Screen5.mp4,5,4.995,True,0.8
29,./5Ball/5Ball_No_Screen4.mp4,4,3.809,True,0.8
30,./5Ball/5Ball_No_Screen3.mp4,3,2.689,True,0.8
31,./5Ball/5Ball_No_Screen1.mp4,1,3.401,True,0.8
32,./5Ball/5Ball_No_Screen4.mp4,4,4.088,True,0.8
33,./5Ball/5Ball_No_Screen4.mp4,4,4.168,True,0.8
34,./5Ball/5Ball_No_Screen4.mp4,4,4.961,True,0.8
35,./5Ball/5Ball_No_Screen3.mp4,3,3.689,True,0.8
36,./5Ball/5Ball_No_Screen4.mp4,3,0.745,False,0.8
37,./5Ball/5Ball_No_Screen1.mp4,1,4.321,True,0.8
38,./5Ball/5Ball_No_Screen2.mp4,2,5.065,True,0.8
39,./5Ball/5Ball_No_Screen5.mp4,5,3.97,True,0.8
40,./5Ball/5Ball_No_Screen2.mp4,2,4.895,True,0.8
