trial,video,key,reaction_time,correct,speed
1,./5Ball/5Ball_Text5.mp4,5,3.342,True,0.8
2,./5Ball/5Ball_Text4.mp4,4,3.737,True,0.8
3,./5Ball/5Ball_Text3.mp4,3,3.057,True,0.8
4,./5Ball/5Ball_Text1.mp4,1,2.848,True,0.8
5,./5Ball/5Ball_Text3.mp4,3,2.728,True,0.8
6,./5Ball/5Ball_Text4.mp4,4,3.536,True,0.8
7,./5Ball/5Ball_Text3.mp4,3,3.376,True,0.8
8,./5Ball/5Ball_Text4.mp4,4,4.137,True,0.8
9,./5Ball/5Ball_Text5.mp4,5,3.632,True,0.8
10,./5Ball/5Ball_Text3.mp4,3,3.048,True,0.8
11,./5Ball/5Ball_Text4.mp4,4,3.424,True,0.8
12,./5Ball/5Ball_Text1.mp4,1,2.536,True,0.8
13,./5Ball/5Ball_Text3.mp4,3,3.065,True,0.8
14,./5Ball/5Ball_Text1.mp4,1,2.639,True,0.8
15,./5Ball/5Ball_Text4.mp4,4,3.129,True,0.8
16,./5Ball/5Ball_Text2.mp4,2,3.609,True,0.8
17,./5Ball/5Ball_Text2.mp4,2,3.68,True,0.8
18,./5Ball/5Ball_Text5.mp4,5,3.431,True,0.8
19,./5Ball/5Ball_Text2.mp4,2,3.713,True,0.8
20,./5Ball/5Ball_Text2.mp4,2,4.112,True,0.8
21,./5Ball/5Ball_Text3.mp4,3,3.305,True,0.8
22,./5Ball/5Ball_Text1.mp4,1,3.241,True,0.8
23,./5Ball/5Ball_Text3.mp4,3,3.22,True,0.8
24,./5Ball/5Ball_Text3.mp4,3,3.066,True,0.8
25,./5Ball/5Ball_Text1.mp4,1,3.096,True,0.8
26,./5Ball/5Ball_Text4.mp4,4,3.44,True,0.8
27,./5Ball/5Ball_Text2.mp4,2,3.568,True,0.8
28,./5Ball/5Ball_Text3.mp4,3,2.984,True,0.8
29,./5Ball/5Ball_Text1.mp4,1,3.313,True,0.8
30,./5Ball/5Ball_Text3.mp4,3,3.32,True,0.8
31,./5Ball/5Ball_Text2.mp4,2,3.712,True,0.8
32,./5Ball/5Ball_Text5.mp4,5,3.896,True,0.8
33,./5Ball/5Ball_Text3.mp4,3,3.225,True,0.8
34,./5Ball/5Ball_Text5.mp4,5,3.57,True,0.8
35,./5Ball/5Ball_Text2.mp4,2,3.88,True,0.8
36,./5Ball/5Ball_Text1.mp4,1,2.266,True,0.8
37,./5Ball/5Ball_Text5.mp4,5,2.88,True,0.8
38,./5Ball/5Ball_Text5.mp4,5,2.792,True,0.8
39,./5Ball/5Ball_Text1.mp4,1,2.752,True,0.8
40,./5Ball/5Ball_Text4.mp4,4,3.336,True,0.8
